ms.service,Team,Product
billing,Billing,计费与订阅
general,Billing,计费与订阅
icp,Billing,计费与订阅
subscription,Billing,计费与订阅
quota,Billing,计费与订阅
active-directory,IaaS,Azure AD
application-gateway,IaaS,网络
azure-portal,IaaS,管理门户
backup,IaaS,备份
expressroute,IaaS,网络
key-vault,IaaS,密钥保管库
load-balancer,IaaS,网络
site-recovery,IaaS,站点恢复
storage,IaaS,存储
virtual-machines,IaaS,虚拟机
virtual-machine-scale-sets,IaaS,虚拟机
virtual-network,IaaS,网络
vpn-gateway,IaaS,网络
automation,IaaS,自动化
ccs,IaaS,网络
monitor,IaaS,Azure 监控器
network-watcher,IaaS,网络
xio-storage,IaaS,存储
cdn,IaaS,CDN
api-management,PaaS,APP服务
app-service,PaaS,APP服务
cloud-services,PaaS,开发
cognitive-services-computer-vision,PaaS,开发
cognitive-services-emotion,PaaS,开发
cosmos-db,PaaS,数据库
event-hubs,PaaS,开发
iot-suite,PaaS,开发
media-services,PaaS,APP服务
mysql,PaaS,数据库
power-bi-embedded,PaaS,数据库
redis-cache,PaaS,开发
service-bus,PaaS,开发
service-health,PaaS,开发
sql-database,PaaS,数据库
sql-data-warehouse,PaaS,数据库
analysis-services,PaaS,开发
app-service-api-apps,PaaS,APP服务
app-service-mobile-apps,PaaS,APP服务
app-service-web-apps,PaaS,APP服务
batch,PaaS,开发
cognitive-services,PaaS,开发
cognitive-services-face,PaaS,开发
hdinsight,PaaS,数据库
iot-hub,PaaS,开发
iot-hub-iot-gateway-sdks,PaaS,开发
multi-factor-authentication,PaaS,开发
notification-hubs,PaaS,开发
scheduler,PaaS,开发
service-fabric,PaaS,开发
sql-server-stretch-database,PaaS,数据库
stream-analytics,PaaS,开发
traffic-manager,PaaS,开发
